sponsor_ein,plan_number,plan_year,sponsor,plan_name,sponsor_plan_key,issuer_name,investment_description,asset_type,morningstar_ticker,par_value,cost,current_value,units_or_shares,page_number,row_id,confidence
,001,2024,,Fidelity401K 5500,,,DOUBLELINE SHILLERENH INTL CAPE CL I,Other,,,,"2,415",,41,3,
,001,2024,,Fidelity401K 5500,,,DOUBLELINE SHILLERENHANCED CAP CL I,Other,,,,"296,354",,41,4,
,001,2024,,Fidelity401K 5500,,,DOUBLELINE SHILLERENHANCED CAP CL N,Other,,,,"377,069",,41,5,
,001,2024,,Fidelity401K 5500,,,DOUBLELINE STRATEGICCOMMODITY CL N,Other,,,,191,,41,6,
,001,2024,,Fidelity401K 5500,,,DOUBLELINE TOTAL RTBOND FD CL N,Corporate Bond,,,,"163,412",,41,7,
,001,2024,,Fidelity401K 5500,,,DOUBLELINE TOTALRETURN BOND FD CL I,Corporate Bond,,,,"257,340",,41,8,
,001,2024,,Fidelity401K 5500,,,DOW JONES WILSHIRE5000 INDEX PORT INVT,Other,,,,"8,726",,41,9,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS EMERGINGMARKETS,Other,,,,"123,057",,41,10,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS EMERGINGMARKETS SM CAP GRWTH,Other,,,,"5,844",,41,11,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS EMERGINGMKTS GROWTH INSTL,Other,,,,"100,475",,41,12,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS INTERNAT'LSMALL CAP GROWTH FD,Other,,,,"36,446",,41,13,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS MICRO CAPGROWTH FUND,Mutual Fund,,,,"322,842",,41,14,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS SMALL CAPGROWTH INSTL CL,Other,,,,"10,449",,41,15,
,001,2024,,Fidelity401K 5500,,,DRIEHAUS SMALL CAPGROWTH INVESTOR CL,Other,,,,"111,988",,41,16,
,001,2024,,Fidelity401K 5500,,,DWS GLOBALINFRASTRU FD -INST,Other,,,,"3,789",,41,17,
,001,2024,,Fidelity401K 5500,,,DWS GLOBALINFRASTRUCTURE FD-A,Other,,,,"23,833",,41,18,
,001,2024,,Fidelity401K 5500,,,DWS LATIN AMERICAEQUITY FUND-A,Mutual Fund,,,,"64,060",,41,19,
,001,2024,,Fidelity401K 5500,,,DWS SCIENCE ANDTECHNOLOGY FUND INST,Mutual Fund,,,,"233,317",,41,20,
,001,2024,,Fidelity401K 5500,,,DWS SCIENCE ANDTECHNOLOGY FUND-A,Mutual Fund,,,,"459,336",,41,21,
,001,2024,,Fidelity401K 5500,,,DWS SCIENCE ANDTECHNOLOGY FUND-C,Mutual Fund,,,,"9,095",,41,22,
,001,2024,,Fidelity401K 5500,,,EATON VANCE ATLANTACAP SMID CAP FD I,Other,,,,"38,839",,41,23,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMERGINGAND FRONT COUNT EQ A,Other,,,,"1,497",,41,24,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMERGINGAND FRONT COUNT EQ I,Other,,,,"84,355",,41,25,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMERGINGMRKTS DEBT OPPOR A,Other,,,,"138,172",,41,26,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMERGMKTS DB OPPOR CL I,Other,,,,"60,785",,41,27,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMRGMARKETS LOCAL INC A,Other,,,,"64,132",,41,28,
,001,2024,,Fidelity401K 5500,,,EATON VANCE EMRGMRKTS LOCAL INCOME I,Other,,,,"3,592",,41,29,
,001,2024,,Fidelity401K 5500,,,EATON VANCE FLOATINGRATE ADVANTAGE CL A,Other,,,,"7,838",,41,30,
,001,2024,,Fidelity401K 5500,,,EATON VANCE FLOATINGRATE CLASS I,Other,,,,"6,722",,41,31,
,001,2024,,Fidelity401K 5500,,,EATON VANCE FLOATINGRATE HI INCOME CL I,Other,,,,"3,783",,41,32,
,001,2024,,Fidelity401K 5500,,,EATON VANCE FOCUSEDVALUE OPPORT CL I,Other,,,,769,,41,33,
,001,2024,,Fidelity401K 5500,,,EATON VANCE GL MACROABSOLUTE RTRN ADV I,Other,,,,"25,103",,41,34,
,001,2024,,Fidelity401K 5500,,,EATON VANCE GL MACROABSOLUTE RTRN ADVT A,Other,,,,"4,935",,41,35,
,001,2024,,Fidelity401K 5500,,,EATON VANCE GREATERCHINA GROWTH CL A,Other,,,,"1,099",,41,36,
,001,2024,,Fidelity401K 5500,,,EATON VANCE GREATERINDIA FUND CLASS A,Mutual Fund,,,,"203,492",,41,37,
,001,2024,,Fidelity401K 5500,,,EATON VANCE GREATERINDIA FUND CLASS I,Mutual Fund,,,,"20,610",,41,38,
,001,2024,,Fidelity401K 5500,,,EATON VANCE HIGH INCOPPORTUNITIES CL A,Other,,,,"1,676",,41,39,
,001,2024,,Fidelity401K 5500,,,EATON VANCE HIGHINCOME OPPT CL I,Other,,,,"20,077",,41,40,
,001,2024,,Fidelity401K 5500,,,EATON VANCE MULTI -ASSET CREDIT FD CL A,Other,,,,999,,41,41,
,001,2024,,Fidelity401K 5500,,,EATON VANCE MULTI -ASSET CREDIT FD CL I,Other,,,,"11,215",,41,42,
,001,2024,,Fidelity401K 5500,,,EATON VANCE PARAMETRDIVIDEND INC CL A,Other,,,,"25,955",,41,43,
,001,2024,,Fidelity401K 5500,,,EATON VANCE SHORTDURATION GOV INC I,Other,,,,"7,285",,41,44,
,001,2024,,Fidelity401K 5500,,,EATON VANCE SHT DURSTRATEGIC INC A,Other,,,,"3,013",,41,45,
,001,2024,,Fidelity401K 5500,,,EATON VANCE SHT DURSTRATEGIC INC FD I,Other,,,,"7,658",,41,46,
,001,2024,,Fidelity401K 5500,,,EATON VANCE TOTALRETURN BOND CL I,Corporate Bond,,,,"13,442",,41,47,
,001,2024,,Fidelity401K 5500,,,EATON VANCEBALANCED CLASS A,Other,,,,"245,568",,41,48,
,001,2024,,Fidelity401K 5500,,,ECOFIN GLOBAL RENINFRASTRUCTURE INSTL,Other,,,,"11,050",,41,49,
,001,2024,,Fidelity401K 5500,,,EDGEWOOD GROWTH FUNDINSTL CL,Mutual Fund,,,,19,,41,50,
,001,2024,,Fidelity401K 5500,,,EDGEWOOD GROWTH FUNDRETAIL CLASS,Mutual Fund,,,,"56,527",,42,1,
,001,2024,,Fidelity401K 5500,,,EMERALD FINANCE ANDBANKING INNOV INSTL,Other,,,,"1,076",,42,2,
,001,2024,,Fidelity401K 5500,,,EMERALD GROWTHINSTITUTIONAL,Other,,,,"5,353",,42,3,
,001,2024,,Fidelity401K 5500,,,ENERGY ULTRASECTORPROFUND INVESTOR CL,Mutual Fund,,,,"78,456",,42,4,
,001,2024,,Fidelity401K 5500,,,EP EMERGING MARKETSCLASS I,Other,,,,"72,227",,42,5,
,001,2024,,Fidelity401K 5500,,,EP INTERNATIONALVALUE FUND CL I,Mutual Fund,,,,"11,946",,42,6,
,001,2024,,Fidelity401K 5500,,,EUROPAC GOLD FUNDCL I,Mutual Fund,,,,"509,068",,42,7,
,001,2024,,Fidelity401K 5500,,,EUROPAC INTERNATNLDIVIDEND INC CL I,Other,,,,"11,904",,42,8,
,001,2024,,Fidelity401K 5500,,,EV FOCUSED VALUEOPPORTUNITIES CL A,Other,,,,"7,499",,42,9,
,001,2024,,Fidelity401K 5500,,,EVENTIDE BALANCEDFUND CL I,Mutual Fund,,,,725,,42,10,
,001,2024,,Fidelity401K 5500,,,EVENTIDE CORE BONDFUND CL I,Corporate Bond,,,,"7,186",,42,11,
,001,2024,,Fidelity401K 5500,,,EVENTIDE DIVIDENDGROWTH FUND CL I,Mutual Fund,,,,"1,966",,42,12,
,001,2024,,Fidelity401K 5500,,,EVENTIDE DIVIDENDGROWTH FUND CL N,Mutual Fund,,,,"2,423",,42,13,
,001,2024,,Fidelity401K 5500,,,EVENTIDE EXPONENTIALTECHNOLOGIES FD CL N,Other,,,,"40,411",,42,14,
,001,2024,,Fidelity401K 5500,,,EVENTIDE EXPONENTIALTECHNOLOGIES I,Other,,,,"29,126",,42,15,
,001,2024,,Fidelity401K 5500,,,EVENTIDE GILEADFUND CLASS I,Mutual Fund,,,,"171,032",,42,16,
,001,2024,,Fidelity401K 5500,,,EVENTIDE GILEADFUND CLASS N,Mutual Fund,,,,"493,771",,42,17,
,001,2024,,Fidelity401K 5500,,,EVENTIDE HEALTHCAREAND LIFE SCIENCES I,Other,,,,"66,253",,42,18,
,001,2024,,Fidelity401K 5500,,,EVENTIDE HEALTHCAREAND LIFE SCIENCES N,Other,,,,"293,061",,42,19,
,001,2024,,Fidelity401K 5500,,,EVENTIDE LARGE CAPFOCUS FD CL I,Other,,,,"2,417",,42,20,
,001,2024,,Fidelity401K 5500,,,FA FOCUS EMRG MKTS Z (1),Other,,,,"379,087,863",,42,21,
,001,2024,,Fidelity401K 5500,,,FA GLB COMDTY STK Z (1),Other,,,,"103,634,722",,42,22,
,001,2024,,Fidelity401K 5500,,,FA GOV INCOME Z (1),Other,,,,"224,476,073",,42,23,
,001,2024,,Fidelity401K 5500,,,FA GROWTH OPPS Z (1),Other,,,,"517,960,111",,42,24,
,001,2024,,Fidelity401K 5500,,,FA HIGH INCOME Z (1),Other,,,,"52,570,912",,42,25,
,001,2024,,Fidelity401K 5500,,,FA INTL GROWTH Z (1),Other,,,,"274,203,387",,42,26,
,001,2024,,Fidelity401K 5500,,,FA INTL SM CAP Z (1),Other,,,,"193,594,908",,42,27,
,001,2024,,Fidelity401K 5500,,,FA INTL VALUE Z (1),Other,,,,"75,677,349",,42,28,
,001,2024,,Fidelity401K 5500,,,FA SM CAP VAL Z (1),Other,,,,"65,803,419",,42,29,
,001,2024,,Fidelity401K 5500,,,FA SMALL CAP Z (1),Other,,,,"11,070,152",,42,30,
,001,2024,,Fidelity401K 5500,,,FA STK SEL MID CAP Z (1),Other,,,,"20,496,452",,42,31,
,001,2024,,Fidelity401K 5500,,,FA STK SEL SM CAP Z (1),Other,,,,"259,298,810",,42,32,
,001,2024,,Fidelity401K 5500,,,FA STRAT INCOME Z (1),Other,,,,"253,988,842",,42,33,
,001,2024,,Fidelity401K 5500,,,FAIRHOLME FUND,Mutual Fund,,,,"49,270",,42,34,
,001,2024,,Fidelity401K 5500,,,FAM DIVIDEND FOCUSFUND,Mutual Fund,,,,"142,060",,42,35,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTALL CAP CORE CL A,Other,,,,645,,42,36,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTLARGE CAP GROWTH A,Other,,,,"163,989",,42,37,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTLARGE CAP GROWTH IS,Other,,,,"321,599",,42,38,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTMARKET NEUTRAL FD A,Other,,,,"119,016",,42,39,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTMID CAP GROWTH A,Other,,,,"34,096",,42,40,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTMID CAP GROWTH IS,Other,,,,"32,439",,42,41,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES MDTSMALL CAP CORE IS,Other,,,,166,,42,42,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMES STRVAL DIV CL A,Other,,,,194,,42,43,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESADJ RATE FUND CL IS,Mutual Fund,,,,"5,032",,42,44,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESCAPTL INCOME CL IS,Other,,,,"4,189",,42,45,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESCLOVER SM VAL CL A,Other,,,,"39,564",,42,46,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESINSTL HIGH YIELD A,Other,,,,"7,400",,42,47,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESINSTL HIGH YLD BD IS,Other,,,,"3,987",,42,48,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESKAUFMANN SM CAP A,Other,,,,"233,432",,42,49,
,001,2024,,Fidelity401K 5500,,,FEDERATED HERMESKAUFMANN SM CAP IS,Other,,,,"2,828",,42,50,
,001,2024,,Fidelity401K 5500,,,FID ADV EMERGINGMARKETS FUND CL Z (1),Mutual Fund,,,,"13,261",,43,2,
,001,2024,,Fidelity401K 5500,,,FID ADVISOR CAPITAL& INCOME FUND CL I (1),Mutual Fund,,,,"1,140",,43,3,
,001,2024,,Fidelity401K 5500,,,FID ADVISOR STOCKSELECTR MID CAP CL I (1),Common Stock,,,,"68,408",,43,4,
,001,2024,,Fidelity401K 5500,,,FID BALANCED K6 (1),Other,,,,"270,200,452",,43,5,
,001,2024,,Fidelity401K 5500,,,FID BLUE CHIP GR K6 (1),Other,,,,"1,943,699,017",,43,6,
,001,2024,,Fidelity401K 5500,,,FID CONSV INC BD (1),Other,,,,"202,382,963",,43,7,
,001,2024,,Fidelity401K 5500,,,FID CONTRAFUND K6 (1),Mutual Fund,,,,"3,656,513,976",,43,8,
,001,2024,,Fidelity401K 5500,,,FID DIVERSFD INTL K6 (1),Other,,,,"287,770,659",,43,9,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2055 IPR (1) FID FDM IDX 2060 IPR (1) FID FDM IDX 2065 IPR (1) FID 500 INDEX (1),Other,,,,"3,850,799,867",,43,10,
,001,2024,,Fidelity401K 5500,,,FID EMERGING MKTS K (1),Other,,,,"470,435,296",,43,10,
,001,2024,,Fidelity401K 5500,,,FID EMRG MKTS IDX (1),Other,,,,"294,245,576",,43,11,
,001,2024,,Fidelity401K 5500,,,FID EQ DIV INCOME K (1),Other,,,,"429,245,783",,43,12,
,001,2024,,Fidelity401K 5500,,,FID EQUITY INCOME K6 (1),Other,,,,"72,252,730",,43,13,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2010 IPR (1),Other,,,,"1,085,869",,43,14,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2015 IPR (1),Other,,,,"866,024",,43,15,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2020 IPR (1),Other,,,,"3,090,347",,43,16,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2025 IPR (1),Other,,,,"13,998,281",,43,17,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2030 IPR (1),Other,,,,"21,428,337",,43,18,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2035 IPR (1),Other,,,,"26,067,431",,43,19,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2040 IPR (1),Other,,,,"32,997,971",,43,20,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2045 IPR (1),Other,,,,"26,245,646",,43,21,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2050 IPR (1),Other,,,,"21,870,358",,43,22,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2055 IPR (1),Other,,,,"18,543,053",,43,23,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2060 IPR (1),Other,,,,"17,273,278",,43,24,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2065 IPR (1),Other,,,,"6,837,357",,43,25,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX 2070 IPR (1),Other,,,,"114,905",,43,26,
,001,2024,,Fidelity401K 5500,,,FID FDM IDX INC IPR (1),Other,,,,"3,298,063",,43,27,
,001,2024,,Fidelity401K 5500,,,FID FLEX FREEDOMBLEND 2070 FUND (1),Mutual Fund,,,,"4,976",,43,28,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2010 K6 (1),Other,,,,"1,414",,43,29,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2015 K6 (1),Other,,,,"689,826",,43,30,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2020 K6 (1),Other,,,,"2,234,832",,43,31,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2025 K6 (1),Other,,,,"4,349,469",,43,32,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2030 K6 (1),Other,,,,"14,628,442",,43,33,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2035 K6 (1),Other,,,,"31,450,115",,43,34,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2040 K6 (1),Other,,,,"26,248,745",,43,35,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2045 K6 (1),Other,,,,"15,045,226",,43,36,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2050 K6 (1),Other,,,,"11,211,104",,43,37,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2055 K6 (1),Other,,,,"7,240,524",,43,38,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2060 K6 (1),Other,,,,"4,712,306",,43,39,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2065 K6 (1),Other,,,,"6,174,318",,43,40,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD 2070 K6 (1),Other,,,,"14,495",,43,41,
,001,2024,,Fidelity401K 5500,,,FID FRDM BLD INC K6 (1),Other,,,,"80,197",,43,42,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2010 K6 (1),Other,,,,"13,225,021",,43,43,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2015 K6 (1),Other,,,,"27,702,406",,43,44,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2020 K6 (1),Other,,,,"118,728,469",,43,45,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2025 K6 (1),Other,,,,"361,501,225",,43,46,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2030 K6 (1),Other,,,,"766,099,462",,43,47,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2035 K6 (1),Other,,,,"1,010,622,355",,43,48,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2040 K6 (1),Other,,,,"882,123,089",,43,49,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2045 K6 (1),Other,,,,"637,884,107",,44,1,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2050 K6 (1),Other,,,,"494,357,596",,44,2,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2055 K6 (1),Other,,,,"354,097,134",,44,3,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2060 K6 (1),Other,,,,"252,891,727",,44,4,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2065 K6 (1),Other,,,,"79,768,119",,44,5,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM 2070 K6 (1),Other,,,,"355,196",,44,6,
,001,2024,,Fidelity401K 5500,,,FID FREEDOM INC K6 (1),Other,,,,"8,894,347",,44,7,
,001,2024,,Fidelity401K 5500,,,FID GROWTH & INC K (1),Other,,,,"1,139,004,947",,44,8,
,001,2024,,Fidelity401K 5500,,,FID GROWTH CO K6 (1),Other,,,,"1,890,607,719",,44,9,
,001,2024,,Fidelity401K 5500,,,FID GROWTH STRAT K6 (1),Other,,,,"127,717,866",,44,10,
,001,2024,,Fidelity401K 5500,,,FID INFL PR BD IDX (1),Other,,,,"85,524,217",,44,11,
,001,2024,,Fidelity401K 5500,,,FID INTERMED BOND (1),Corporate Bond,,,,"350,904,721",,44,12,
,001,2024,,Fidelity401K 5500,,,FID INTL CAP APPR K6 (1),Other,,,,"193,629,487",,44,13,
,001,2024,,Fidelity401K 5500,,,FID INTL INDEX (1),Other,,,,"1,004,662,457",,44,14,
,001,2024,,Fidelity401K 5500,,,FID INTL SUSTAINBLTYINDEX FUND (1),Mutual Fund,,,,971,,44,15,
,001,2024,,Fidelity401K 5500,,,FID INTM TR BD IDX (1),Other,,,,"866,255,856",,44,16,
,001,2024,,Fidelity401K 5500,,,FID LG CAP GR IDX (1),Other,,,,"388,905,572",,44,17,
,001,2024,,Fidelity401K 5500,,,FID LG CAP VAL IDX (1),Other,,,,"969,357,962",,44,18,
,001,2024,,Fidelity401K 5500,,,FID LOW-PRICED ST K6 (1),Other,,,,"502,684,349",,44,19,
,001,2024,,Fidelity401K 5500,,,FID LT TR BD IDX (1),Other,,,,"29,936,154",,44,20,
,001,2024,,Fidelity401K 5500,,,FID MAGELLAN K6 (1),Other,,,,"253,799,402",,44,21,
,001,2024,,Fidelity401K 5500,,,FID MGD RET 2015 K6 (1),Other,,,,"4,159",,44,22,
,001,2024,,Fidelity401K 5500,,,FID MGD RET 2020 K6 (1),Other,,,,"37,851",,44,23,
,001,2024,,Fidelity401K 5500,,,FID MGD RET 2025 K6 (1),Other,,,,"463,423",,44,24,
,001,2024,,Fidelity401K 5500,,,FID MGD RET 2030 K6 (1),Other,,,,"808,679",,44,25,
,001,2024,,Fidelity401K 5500,,,FID MGD RET 2035 K6 (1),Other,,,,"2,702,221",,44,26,
,001,2024,,Fidelity401K 5500,,,FID MGD RET INC K6 (1),Other,,,,"616,747",,44,27,
,001,2024,,Fidelity401K 5500,,,FID MID CAP GR IDX (1),Other,,,,"19,272,678",,44,28,
,001,2024,,Fidelity401K 5500,,,FID MID CAP IDX (1),Other,,,,"77,721,105",,44,29,
,001,2024,,Fidelity401K 5500,,,FID MID CAP STOCK K6 (1),Common Stock,,,,"139,975,254",,44,30,
,001,2024,,Fidelity401K 5500,,,FID MID CAP VAL IDX (1),Other,,,,"3,232,357",,44,31,
,001,2024,,Fidelity401K 5500,,,FID NASDAQ COMP INDX (1),Other,,,,"390,716,245",,44,32,
,001,2024,,Fidelity401K 5500,,,FID OTC K6 (1),Other,,,,"348,062,956",,44,33,
,001,2024,,Fidelity401K 5500,,,FID OVERSEAS K (1),Other,,,,"755,582,825",,44,34,
,001,2024,,Fidelity401K 5500,,,FID PURITAN K6 (1),Other,,,,"131,338,083",,44,35,
,001,2024,,Fidelity401K 5500,,,FID REAL ESTATE IDX (1),Real Estate,,,,"46,538,479",,44,36,
,001,2024,,Fidelity401K 5500,,,FID SELECT ENTERPRISTECH SERVICES PORT (1),Other,,,,"33,530",,44,37,
,001,2024,,Fidelity401K 5500,,,FID SHORT DURATIONHIGH INCOME FUND (1),Mutual Fund,,,,"105,385",,44,38,
,001,2024,,Fidelity401K 5500,,,FID SM CAP DISCOVERY (1),Other,,,,"100,697,212",,44,39,
,001,2024,,Fidelity401K 5500,,,FID SM CAP GR IDX (1),Other,,,,"12,865,499",,44,40,
,001,2024,,Fidelity401K 5500,,,FID SM CAP IDX (1),Other,,,,"86,366,909",,44,41,
,001,2024,,Fidelity401K 5500,,,FID SM CAP VAL IDX (1),Other,,,,"12,074,687",,44,42,
,001,2024,,Fidelity401K 5500,,,FID SMALL CAP GR K6 (1),Other,,,,"141,357,648",,44,43,
,001,2024,,Fidelity401K 5500,,,FID ST TR BD IDX (1),Other,,,,"14,667,998",,44,44,
,001,2024,,Fidelity401K 5500,,,FID STOCK SELECTORLARGE CAP VALUE FD (1),Common Stock,,,,"272,175",,44,45,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLE TD2045 FD (1),Other,,,,"107,140",,44,46,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLE TD2050 FD (1),Other,,,,"174,440",,44,47,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLE TD2060 FD (1),Other,,,,"9,868",,44,48,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLE TD2065 FD (1),Other,,,,"3,324",,44,49,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLEEMERGING MARKETS FD (1),Other,,,,"40,892",,44,50,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLEINTERNATIONAL EQ FD (1),Other,,,,"43,869",,45,1,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLEMULTI-ASSET FD (1),Other,,,,224,,45,2,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLETD 2040 FD (1),Other,,,,"70,380",,45,3,
,001,2024,,Fidelity401K 5500,,,FID SUSTAINABLEU.S. EQUITY FUND (1),Mutual Fund,,,,"56,118",,45,4,
,001,2024,,Fidelity401K 5500,,,FID TOTAL BOND K6 (1),Corporate Bond,,,,"165,695,177",,45,5,
,001,2024,,Fidelity401K 5500,,,FID TOTAL MKT IDX (1),Other,,,,"546,183,603",,45,6,
,001,2024,,Fidelity401K 5500,,,FID US BOND IDX (1),Corporate Bond,,,,"132,796,577",,45,7,
,001,2024,,Fidelity401K 5500,,,FID US SUSTAINBLTYINDEX FUND (1),Mutual Fund,,,,"590,214",,45,8,
,001,2024,,Fidelity401K 5500,,,FID VALUE DISCOV K6 (1),Other,,,,"131,761,030",,45,9,
,001,2024,,Fidelity401K 5500,,,FID VALUE K (1),Other,,,,"415,297,472",,45,10,
,001,2024,,Fidelity401K 5500,,,FID VALUE STRAT K (1),Other,,,,"36,044,726",,45,11,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISOR FLRATE HIGH INC CL I (1),Mutual Fund,,,,"4,856",,45,12,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISOR MIDCAP VALUE CL I (1),Mutual Fund,,,,291,,45,13,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORBIOTECHNOLOGY CL I (1),Mutual Fund,,,,900,,45,14,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORDIVIDEND GROWTH CL I (1),Mutual Fund,,,,713,,45,15,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISOREQUITY GROWTH CL I (1),Mutual Fund,,,,"117,904",,45,16,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORFOCUSED EMERG MKTS I (1),Mutual Fund,,,,32,,45,17,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORGLOBAL CAP APP CL I (1),Mutual Fund,,,,308,,45,18,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORGROWTH OPPTY CL I (1),Mutual Fund,,,,"1,383",,45,19,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORHEALTH CARE CL I (1),Mutual Fund,,,,116,,45,20,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORINT'L DISCOVERY CL I (1),Mutual Fund,,,,589,,45,21,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORJAPAN FUND CL I (1),Mutual Fund,,,,"71,480",,45,22,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORMULTI-ASSET INCOME I (1),Mutual Fund,,,,271,,45,23,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORREAL ESTATE CL I (1),Real Estate,,,,"297,919",,45,24,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORREAL ESTATE INCOME Z (1),Real Estate,,,,"37,497",,45,25,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORSEMICONDUCTORS FUND (1),Mutual Fund,,,,"5,437",,45,26,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORSMALL CAP GRWTH CL Z (1),Mutual Fund,,,,"120,221",,45,27,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORSMALL CAP VALUE CL I (1),Mutual Fund,,,,"216,599",,45,28,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORTECHNOLOGY FD CL Z (1),Mutual Fund,,,,"46,345",,45,29,
,001,2024,,Fidelity401K 5500,,,FIDELITY ADVISORTOTAL BOND CL I (1),Corporate Bond,,,,"93,487",,45,30,
,001,2024,,Fidelity401K 5500,,,FIDELITY AGRICULTURLPRODUCT FUND (1),Mutual Fund,,,,"344,120",,45,31,
,001,2024,,Fidelity401K 5500,,,FIDELITY ASSETMANAGER 50% (1),Mutual Fund,,,,"178,056",,45,32,
,001,2024,,Fidelity401K 5500,,,FIDELITY ASSETMANAGER 85% (1),Mutual Fund,,,,3,,45,33,
